"IOBS","LANG_1","LANG_2","Eval_Brand","City","Q1a_1","Q1a_2","Q1a_3","Q1a_4","Q1a_5","Q1b_1","Q1b_2","Q1b_3","Q1b_4","Q1c_1","Q1c_2","Q1c_3","Q1d_1","Q1d_2","Q1d_3","Q1d1_1","Q1d1_2","Q1d1_3","Q1d1_4","Q1d1_5","Q1d2_1","Q1d2_2","Q1d2_3","Q1e_1_1","Q1e_1_2","Q1f_1","Q1f_2","Q1f_3","Q2a_1","Q2a_2","Q2b_1","Q2b_2","Q2b_3","Q2c_1","Q2c_2","Q2d_1","Q2d_2","Q2d_3","Q2d_4","Q2e_1","Q2e_2","Q2e_3","Q2e_4","Q2e_5","Q2e_6","Q2e_7","Q2f_1","Q2f_2","Q2f_3","Q2g_1","Q2g_2","Q2g_3","Q2g_4","Q2g_5","Q2g_6","Q2g_7","Q2g_8","Q2g_9","Q2g_10","Q2g_11","Q2g_12","Q2g_13","Q2g_14","Q2g_15","Q2g_16","Q2g_17","Q2g_18","Q3c_1","Q3c_2","Q3c_3","Q3d_1","Q3d_2","Q3d_3","Q3e_1","Q3e_2","Q3e_3","Q3e_4","Q3e_5","Q4a_1","Q4a_2","Q4b_1","Q4b_2","Q4b_3","Q4b_4","Q4c_1","Q4c_2","Q4c_3","Q4c_4","Q4d_1","Q4d_2","Q4d_3","Q4g_1","Q4g_2","Q4g_3","Q4h_1","Q4h_2","Q5_1_1","Q5_1_2","Q5_1_3","Q5_1_4","Q5_1_5","Q5_1_6","Q5_1_7","Q5_1_8","Q5_1_9","Q5_1_10","Q5_2_1","Q5_2_2","Q5_2_3","Q5_3_1","Q5_3_2","Q5_3_3","Q5_4_1","Q5_4_2","Q5_4_3","Q5_4_4","Q5_4_5","Q5_5_1","Q5_5_2","Q5_6_1","Q5_6_2","Q5_6_3","Q5_6_4","Q5_7_1","Q5_7_2","Q5_7_3","Q5_8_1","Q5_8_2","Q5_8_3","Q5_8_4","Q5_8_5","Q5_9_1","Q5_9_2","Q5_9_3","Q6_1_1","Q6_1_2","Q6_1_3","Q6_2_1","Q6_2_2","Q6_2_3","Q6_3_1","Q6_3_2","Q6_3_3","Q6_3_4","Q6_3_5","Q6_3_6","Q6_3_7","Q6_3_8","Q6_3_9","Q6_3_10","Q6_3_11","Q6_4_1","Q6_4_2","Q6_4_3","Q7_1_1","Q7_1_2","Q7_1_3","Q7_1_4","Q7_1_5","Q7_2_1","Q7_2_2","Q7_2_3","Q7_3_1","Q7_3_2","Q7_3_3","Q7_3_4","Q7_3_5","Q7_4_1","Q7_4_2","Q7_4_3","Q7_4_4","Q7_4_5","Q7_4_6","Q7_5_1","Q7_5_2","Q7_5_3","Q7_5_4","Q7_5_5","Q7_5_6","iQ1a","iQ1b","iQ1c","iQ1d","iQ1d1","iQ1d2","iQ1e_1","iQ1f","iInitial","wInitial","iQ2a","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iQ2g","iServiceAdvisor","wServiceAdvisor","iQ3c","iQ3d","iQ3e","iSalesConsultant","wSalesConsultant","iQ4b","iQ4c","iQ4d","iQ4g","iQ4h","iServicingTime","wServicingTime","iQ5_2","iQ5_3","iQ5_4","iQ5_5","iQ5_6","iQ5_7","iQ5_8","iQ5_9","iVehicleDel","wVehicleDel","iQ6_1","iQ6_2","iQ6_3","iQ6_4","iFacility","wFacility","iQ7_1","iQ7_2","iQ7_3","iQ7_4","iQ7_5","iOverallImpression","wOverallImpression","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11"
207754618,0,1,7,1,0,1,0,0,0, , , , ,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,75, ,50,100,100,100,0,100,7,75.0000,100,100,0,100,100,100,80,7,82.8571,50,100,50,3,66.6667,33,0,100,100,0,5,46.6000,100,100,0,100,33,100,25,100,8,69.7500,100,100,10,100,4,77.5000,75,100,100,60,10,5,69.0000,39,70.5385,0,0,0,0,0,0,1,0,1,0,0,
207786888,0,1,4,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,25,25,50,50,0,100,0,100,8,43.7500,100,50,100,100,100,100,110,7,94.2857,100,100,50,3,83.3333,0,0,100, ,100,4,50.0000,100,100,25,100,33,100,50,100,8,76.0000,100,100,20,100,4,80.0000,50,50,75,20,40,5,47.0000,39,67.2564,0,0,0,1,0,0,0,0,0,1,0,
207825655,0,1,6,1,0,0,1,0,0, , , , ,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,50, ,0,0,0,0,0,50,7,14.2857,100,50,0,25,25,50,50,7,42.8571,0,100,75,3,58.3333,0,0,100,100,0,5,40.0000,0,0,25,100,33,0,25,100,8,35.3750,100,100,10,0,4,52.5000,25,0,25,20,40,5,22.0000,39,35.3333,0,0,0,0,0,1,0,0,1,0,0,
207827755,0,1,4,2,0,0,1,0,0, , , , ,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,50, ,100,100,0,0,0,100,7,50.0000,100,100,100,100,100,100,50,7,92.8571,50,100,75,3,75.0000,0,33,100,100,0,5,46.6000,100,100,100,100,33,50,50,100,8,79.1250,50,100,10,100,4,65.0000,100,100,100,60,20,5,76.0000,39,70.0256,0,0,0,1,0,0,0,0,0,1,0,
207828848,0,1,4,2,0,0,1,0,0, , , , ,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,50, ,100,100,0,0,0,100,7,50.0000,100,100,100,100,25,100,30,7,79.2857,100,100,25,3,75.0000,66,33,100,0,0,5,39.8000,100,100,50,100,33,100,25,50,8,69.7500,100,100,10,100,4,77.5000,75,50,100,20,10,5,51.0000,39,62.8718,0,0,0,1,0,0,0,0,0,1,0,
207877381,0,1,1,2,0,1,0,0,0, , , , ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,75, ,100,100, ,100,100,100,6,95.8333,100,100,100,100,100,100,110,7,101.4286,100,100,75,3,91.6667,33,99,100,100,100,5,86.4000,100,100,75,100,33,100,75,100,8,85.3750,100,100,50,100,4,87.5000,100,100,100,80,20,5,80.0000,38,90.1316,1,0,0,0,0,0,0,0,0,1,0,
207932367,0,1,7,2,0,1,0,0,0, , , , ,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,75, ,100,100,0,0,0,100,7,53.5714,0,100,100,100,100,100,110,7,87.1429,100,100,100,3,100.0000,66,99,50,100,0,5,63.0000,100,100,75,100,33,100,100,150,8,94.7500,100,100,40,100,4,85.0000,100,100,100,100,40,5,88.0000,39,80.4615,0,0,0,0,0,0,1,0,0,1,0,
207937258,0,1,6,3,0,1,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,75, ,50,100,0,0,100,100,7,60.7143,100,100,100,100,100,100,100,7,100.0000,100,100,100,3,100.0000,33,33,100,100,100,5,73.2000,50,100,50,100,33,100,25,100,8,69.7500,100,0,30,100,4,57.5000,75,100,100,60,40,5,75.0000,39,75.7436,0,0,0,0,0,1,0,0,0,0,1,
208007518,0,1,6,2,1,0,0,0,0, , , , ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,100, ,100,100, ,100,100,100,6,100.0000,100,100,100,100,100,100,140,7,105.7143,100,100,100,3,100.0000,0,99,100,100,0,5,59.8000,100,100,100,100,33,100,75,100,8,88.5000,100,100,50,100,4,87.5000,100,100,100,80,10,5,78.0000,38,89.1316,0,0,0,0,0,1,0,0,0,1,0,
208059697,0,1,7,3,0,0,1,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,50, ,50,100,0,0,0,100,7,42.8571,100,100,0,100,100,100,10,7,72.8571,100,0,75,3,58.3333,0,0,100,100,0,5,40.0000,100,100,75,100,33,100,50,100,8,82.2500,0,100,10,100,4,52.5000,75,100,100,40,10,5,65.0000,39,60.9744,0,0,0,0,0,0,1,0,0,0,1,
208142032,0,1,4,2,0,1,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,75, ,50,100,0,0,0,100,7,46.4286,100,100,0,100,25,100,20,7,63.5714,50,100,75,3,75.0000,0,33,100,0,0,5,26.6000,100,50,50,0,33,50,0,50,8,41.6250,100,100,10,50,4,65.0000,75,0,50,20,20,5,33.0000,39,48.3590,0,0,0,1,0,0,0,0,0,1,0,
208144035,0,1,1,2,0,1,0,0,0, , , , ,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,75, ,50,50,0,0,0,100,7,39.2857,100,100,0,100,25,100,50,7,67.8571,100,100,100,3,100.0000,0,33,100,100,100,5,66.6000,100,100,100,0,33,100,25,50,8,63.5000,100,50,10,100,4,65.0000,75,50,75,20,20,5,48.0000,39,61.3077,1,0,0,0,0,0,0,0,0,1,0,
208144723,0,1,1,2,0,1,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,75, ,50,100,0,0,0,100,7,46.4286,100,100,100,100,25,50,40,7,73.5714,100,100,100,3,100.0000,0,66,100,100,0,5,53.2000,100,100,75,0,33,100,50,50,8,63.5000,100,100,10,100,4,77.5000,75,100,75,60,20,5,66.0000,39,65.4872,1,0,0,0,0,0,0,0,0,1,0,
208162743,0,1,1,2,0,0,1,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,50, ,50,100,0,0,0,100,7,42.8571,0,100,100,100,100,100,50,7,78.5714,100,100,50,3,83.3333,0,33,100,0,0,5,26.6000,100,100,100,0,33,50,0,50,8,54.1250,100,100,10,100,4,77.5000,50,0,50,60,40,5,40.0000,39,55.7949,1,0,0,0,0,0,0,0,0,1,0,
208323846,0,1,6,2,0,1,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,75, ,50,100,0,0,0,100,7,46.4286,100,100,100,100,100,100,50,7,92.8571,100,100,100,3,100.0000,0,33,100,100,100,5,66.6000,100,100,100,100,33,100,0,50,8,72.8750,50,100,0,100,4,62.5000,75,50,75,40,20,5,52.0000,39,69.2564,0,0,0,0,0,1,0,0,0,1,0,
208324208,0,1,5,2,0,1,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,75, ,50,100,0,0,0,100,7,46.4286,100,100,0,50,25,100,70,7,63.5714,50,0,50,3,33.3333,0,0,100,100,0,5,40.0000,100,100,75,100,33,50,0,50,8,63.5000,50,50,10,100,4,52.5000,75,50,75,10,40,5,50.0000,39,52.2564,0,0,0,0,1,0,0,0,0,1,0,
208496527,0,1,5,2,0,1,0,0,0, , , , ,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,75, ,50,100,0,0,0,100,7,46.4286,100,100,100,100,50,100,40,7,84.2857,100,100,100,3,100.0000,0,0,100,0,0,5,20.0000,100,100,75,100,33,100,50,50,8,76.0000,100,100,10,100,4,77.5000,75,50,75,40,20,5,52.0000,39,63.9231,0,0,0,0,1,0,0,0,0,1,0,
